# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56370.60653082	0.30823928	1.008235	0.000214	1.027445	0.000243	1.009243	0.000214
56370.62696473	0.31763448	1.010730	0.000214	1.030427	0.000243	1.011736	0.000214
56370.64739855	0.32702964	1.011353	0.000214	1.031166	0.000243	1.012355	0.000214
56370.66783226	0.33642474	1.004254	0.000214	1.022975	0.000243	1.005245	0.000214
56370.68826617	0.34581994	1.011897	0.000214	1.031742	0.000243	1.012891	0.000214
56370.70869998	0.35521509	1.005205	0.000214	1.024155	0.000243	1.006188	0.000214
56370.72913370	0.36461020	1.004916	0.000214	1.023675	0.000243	1.005894	0.000214
56370.74956761	0.37400540	1.010305	0.000214	1.029832	0.000243	1.011284	0.000214
56370.77000143	0.38340056	1.000474	0.000214	1.018721	0.000243	1.001439	0.000214
56370.79043534	0.39279576	1.006692	0.000214	1.025610	0.000243	1.007659	0.000214
56370.81086905	0.40219086	1.003880	0.000214	1.022571	0.000243	1.004840	0.000214
56370.83130287	0.41158602	1.001008	0.000214	1.019269	0.000243	1.001961	0.000214
56370.85173678	0.42098122	1.006562	0.000214	1.025433	0.000243	1.007516	0.000214
56370.87217050	0.43037633	0.998068	0.000214	1.015975	0.000243	0.999009	0.000214
56370.89260432	0.43977148	0.994477	0.000214	1.011684	0.000243	0.995411	0.000214
56370.91303813	0.44916664	0.986586	0.000214	1.002797	0.000243	0.987508	0.000214
56370.93347195	0.45856179	0.971682	0.000214	0.985926	0.000243	0.972586	0.000214
56370.95390587	0.46795700	0.967388	0.000214	0.980905	0.000243	0.968284	0.000214
56370.97433958	0.47735210	0.955993	0.000214	0.968039	0.000243	0.956875	0.000214
56370.99477340	0.48674726	0.947418	0.000214	0.958250	0.000243	0.948287	0.000214
56371.01520732	0.49614246	0.947950	0.000214	0.958835	0.000243	0.948816	0.000214
56371.03564114	-0.49446238	0.946465	0.000214	0.957174	0.000243	0.947326	0.000214
56371.05607485	-0.48506728	0.953540	0.000214	0.965248	0.000243	0.954403	0.000214
56371.07650877	-0.47567207	0.965703	0.000214	0.978915	0.000243	0.966573	0.000214
56371.09694259	-0.46627692	0.972003	0.000214	0.986184	0.000243	0.972875	0.000214
56371.11737631	-0.45688181	0.986626	0.000214	1.002794	0.000243	0.987506	0.000214
56371.13781023	-0.44748660	0.997324	0.000214	1.014818	0.000243	0.998210	0.000214
56371.15824405	-0.43809145	1.000714	0.000214	1.018855	0.000243	1.001599	0.000214
56371.17867797	-0.42869624	1.013405	0.000214	1.033086	0.000243	1.014297	0.000214
56371.19911169	-0.41930113	1.008437	0.000214	1.027487	0.000243	1.009321	0.000214
56371.21954551	-0.40990598	1.011906	0.000214	1.031479	0.000243	1.012788	0.000214
56371.23997943	-0.40051077	1.017261	0.000214	1.037374	0.000243	1.018144	0.000214
56371.26041315	-0.39111566	1.008276	0.000214	1.027334	0.000243	1.009147	0.000214
56371.28084697	-0.38172051	1.018411	0.000214	1.038778	0.000243	1.019287	0.000214
56371.30128090	-0.37232530	1.014159	0.000214	1.033938	0.000243	1.015027	0.000214
56371.32171462	-0.36293019	1.013279	0.000214	1.033012	0.000243	1.014142	0.000214
56371.34214854	-0.35353499	1.020905	0.000214	1.041676	0.000243	1.021771	0.000214
56371.36258236	-0.34413983	1.011417	0.000214	1.030767	0.000243	1.012270	0.000214
56371.38301609	-0.33474471	1.019491	0.000214	1.040082	0.000243	1.020347	0.000214
56371.40345001	-0.32534951	1.016931	0.000214	1.037123	0.000243	1.017781	0.000214
56371.42388383	-0.31595435	1.013385	0.000214	1.032922	0.000243	1.014228	0.000214
56371.44431766	-0.30655919	1.022401	0.000214	1.043427	0.000243	1.023247	0.000214
56371.46475148	-0.29716404	1.014347	0.000214	1.034015	0.000243	1.015183	0.000214
56371.48518531	-0.28776887	1.019588	0.000214	1.040075	0.000243	1.020424	0.000214
56371.50561913	-0.27837372	1.020829	0.000214	1.041558	0.000243	1.021662	0.000214
56371.52605296	-0.26897856	1.014002	0.000214	1.033606	0.000243	1.014826	0.000214
56371.54648678	-0.25958340	1.021950	0.000214	1.042762	0.000243	1.022776	0.000214
56371.56692061	-0.25018824	1.014825	0.000214	1.034642	0.000243	1.015641	0.000214
56371.58735444	-0.24079308	1.014397	0.000214	1.034114	0.000243	1.015209	0.000214
56371.60778826	-0.23139792	1.017444	0.000214	1.037657	0.000243	1.018255	0.000214
56371.62822219	-0.22200271	1.009756	0.000214	1.028870	0.000243	1.010557	0.000214
56371.64865592	-0.21260760	1.014406	0.000214	1.034125	0.000243	1.015206	0.000214
56371.66908974	-0.20321244	1.012210	0.000214	1.031640	0.000243	1.013005	0.000214
56371.68952367	-0.19381723	1.008616	0.000213	1.027574	0.000242	1.009404	0.000213
56371.70995740	-0.18442212	1.011832	0.000212	1.031108	0.000241	1.012619	0.000212
56371.73039133	-0.17502691	1.005960	0.000211	1.024686	0.000239	1.006738	0.000211
56371.75082515	-0.16563175	1.005661	0.000210	1.024167	0.000238	1.006435	0.000210
56371.77125888	-0.15623664	1.005407	0.000208	1.023884	0.000237	1.006177	0.000209
56371.79169281	-0.14684143	0.999226	0.000207	1.016970	0.000235	0.999988	0.000207
56371.81212664	-0.13744627	1.001012	0.000206	1.018783	0.000234	1.001772	0.000206
56371.83256037	-0.12805116	1.000035	0.000205	1.017809	0.000232	1.000790	0.000205
56371.85299430	-0.11865595	0.994696	0.000204	1.011663	0.000231	0.995444	0.000204
56371.87342813	-0.10926079	0.999492	0.000202	1.017123	0.000230	1.000240	0.000203
56371.89386186	-0.09986567	0.995667	0.000201	1.012815	0.000228	0.996408	0.000201
56371.91429579	-0.09047046	0.993372	0.000200	1.010162	0.000227	0.994107	0.000200
56371.93472962	-0.08107530	0.995412	0.000199	1.012479	0.000226	0.996146	0.000199
56371.95516356	-0.07168009	0.960527	0.000197	0.972901	0.000224	0.961231	0.000198
56371.97559729	-0.06228498	0.908115	0.000196	0.913338	0.000223	0.908778	0.000196
56371.99603112	-0.05288981	0.820497	0.000195	0.813689	0.000221	0.821092	0.000195
56372.01646505	-0.04349461	0.716844	0.000194	0.696191	0.000220	0.717362	0.000194
56372.03689879	-0.03409949	0.613020	0.000192	0.578023	0.000218	0.613460	0.000193
56372.05733262	-0.02470433	0.506274	0.000191	0.456789	0.000217	0.506636	0.000191
56372.07776655	-0.01530912	0.425999	0.000190	0.365706	0.000215	0.426302	0.000190
56372.09820039	-0.00591395	0.376955	0.000188	0.309796	0.000214	0.377222	0.000189
56372.11863422	0.00348121	0.373353	0.000187	0.305895	0.000213	0.373616	0.000187
56372.13906805	0.01287637	0.418367	0.000186	0.356935	0.000211	0.418660	0.000186
56372.15950179	0.02227149	0.496110	0.000185	0.445257	0.000209	0.496456	0.000185
56372.17993572	0.03166670	0.595971	0.000186	0.558755	0.000211	0.596384	0.000186
56372.20036956	0.04106186	0.708048	0.000187	0.685965	0.000212	0.708536	0.000187
56372.22080339	0.05045702	0.807286	0.000188	0.798745	0.000214	0.807840	0.000189
56372.24123723	0.05985219	0.896462	0.000190	0.900118	0.000215	0.897074	0.000190
56372.26167107	0.06924736	0.964645	0.000191	0.977547	0.000217	0.965301	0.000191
56372.28210480	0.07864247	0.986629	0.000192	1.002422	0.000218	0.987296	0.000192
56372.30253874	0.08803768	0.996176	0.000194	1.013510	0.000220	0.996846	0.000194
56372.32297258	0.09743285	0.993558	0.000195	1.010269	0.000221	0.994223	0.000195
56372.34340651	0.10682806	0.992157	0.000196	1.008835	0.000223	0.992818	0.000196
56372.36384025	0.11622318	0.999878	0.000197	1.017624	0.000224	1.000540	0.000197
56372.38427409	0.12561834	0.992695	0.000198	1.009254	0.000225	0.993349	0.000199
56372.40470803	0.13501355	0.998683	0.000200	1.016297	0.000227	0.999338	0.000200
56372.42514176	0.14440867	1.001049	0.000201	1.018823	0.000228	1.001702	0.000201
56372.44557560	0.15380383	0.994023	0.000202	1.010910	0.000230	0.994669	0.000202
56372.46600954	0.16319905	1.005649	0.000203	1.024166	0.000231	1.006298	0.000203
56372.48644328	0.17259417	0.999547	0.000205	1.017166	0.000232	1.000189	0.000205
56372.50687722	0.18198938	1.003003	0.000206	1.021127	0.000234	1.003644	0.000206
56372.52731106	0.19138454	1.009728	0.000207	1.028805	0.000235	1.010370	0.000207
56372.54774480	0.20077966	1.001800	0.000208	1.019796	0.000236	1.002434	0.000208
56372.56817874	0.21017488	1.013089	0.000209	1.032575	0.000238	1.013726	0.000209
56372.58861258	0.21957004	1.007187	0.000210	1.025976	0.000239	1.007817	0.000211
56372.60904632	0.22896516	1.007281	0.000212	1.025911	0.000240	1.007908	0.000212
